"n","k_babylon","m1","m2","babylon_log10_error","nested_log10_error","deviation"
2,7,3,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,7,3,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,1,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,8,1,1,"-DirectedInfinity-","-3.69019608002851366142443251718527238696714479264793081300726990743650687980415833213222305569498","-DirectedInfinity-"
2,8,1,2,"-DirectedInfinity-","-26.656759357334198053355549057411648804899489700635215359533414599427068347","-DirectedInfinity-"
2,8,1,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,1,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,1,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,2,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,8,2,1,"-DirectedInfinity-","-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-"
2,8,2,2,"-DirectedInfinity-","-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-"
2,8,2,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,2,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,2,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,3,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,8,3,1,"-DirectedInfinity-","-6.75242370056534555411199501532385763510599586636589894276636222931841358131349648824808262124","-DirectedInfinity-"
2,8,3,2,"-DirectedInfinity-","-75.65204708058067207823869","-DirectedInfinity-"
2,8,3,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,3,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,8,3,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
3,1,1,0,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","3.79740604967638202792060478025672357434447396288269060218026213532626420472512989854071382052228"
3,1,1,1,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-2.3521825181113624841625780170612445648638779654571746470388763583562419270184732271120822070588603","1.14419353590103834854428786847098598271240611596340741383095831584291408843223216194170436134523"
3,1,1,2,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-19.5109304651533134221325992702841673622741750468570455049470061943512686751613017","16.0145544111409125894257333847519368146978909654364634440771715201521126597105963"
3,1,1,3,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
3,1,1,4,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
3,1,1,5,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
